# Simulation 3 (Data loaded from a file),,
# 541 data points written for 3 variables.,,
#,,
# Time (s),Total velocity (m/s),Thrust (N)
# Event IGNITION occurred at t=0 seconds,,
# Event LAUNCH occurred at t=0 seconds,,
0.01,0.254,250.105
0.02,1.135,695.886
# Event LIFTOFF occurred at t=0.03 seconds,,
0.03,2.308,903.294
0.04,3.401,845.954
0.05,4.404,781.06
0.06,5.377,759.999
0.07,6.354,762.75
0.08,7.34,768.076
0.09,8.333,773.402
0.1,9.335,778.929
0.11,10.346,785.284
0.12,11.367,791.729
0.13,12.398,798.159
0.14,13.435,802.841
0.15,14.478,806.321
0.16,15.526,809.802
0.17,16.58,813.143
0.18,17.637,815.648
0.19,18.699,818.012
0.2,19.764,820.377
0.21,20.833,822.741
0.22,21.906,825.075
0.23,22.981,826.39
0.24,24.058,827.212
# Event LAUNCHROD occurred at t=0.25 seconds,,
0.25,25.136,828.033
0.265,26.757,829.06
0.288,29.194,830.551
0.321,32.861,832.125
0.371,38.316,834.267
0.421,43.794,836.029
0.471,49.282,836.569
0.521,54.776,836.632
0.571,60.256,833.97
0.621,65.715,830.855
0.671,71.143,826.387
0.721,76.531,820.844
0.771,81.86,813.142
0.821,87.124,804.561
0.871,92.328,796.587
0.921,97.472,788.9
0.971,102.553,780.689
1.021,107.565,772.099
1.071,112.514,764.293
1.121,117.419,759.651
1.169,122.056,755.445
1.219,126.879,751.298
1.269,131.662,747.732
1.319,136.407,744.358
1.369,141.108,740.501
1.417,145.596,735.585
1.467,150.194,730.769
1.517,154.782,731.383
1.567,159.435,742.339
1.617,162.357,517.597
1.667,162.563,163.366
1.717,161.706,24.108
# Event BURNOUT occurred at t=1.731 seconds,,
1.731,161.424,2.406
1.752,160.995,0
1.783,160.354,0
1.829,159.398,0
1.879,158.382,0
1.929,157.373,0
1.979,156.372,0
2.029,155.377,0
2.079,154.39,0
2.129,153.409,0
2.179,152.435,0
2.229,151.469,0
2.279,150.509,0
2.329,149.555,0
2.379,148.608,0
2.429,147.667,0
2.479,146.732,0
2.529,145.804,0
2.579,144.882,0
2.629,143.966,0
2.679,143.056,0
2.729,142.151,0
2.779,141.253,0
2.829,140.359,0
2.879,139.471,0
2.929,138.589,0
2.979,137.713,0
3.029,136.842,0
3.079,135.976,0
3.129,135.115,0
3.179,134.26,0
3.229,133.409,0
3.279,132.563,0
3.329,131.722,0
3.379,130.885,0
3.429,130.054,0
3.479,129.228,0
3.529,128.406,0
3.579,127.589,0
3.629,126.776,0
3.679,125.968,0
3.729,125.164,0
3.779,124.364,0
3.829,123.569,0
3.879,122.777,0
3.929,121.99,0
3.979,121.207,0
4.029,120.428,0
4.079,119.653,0
4.129,118.882,0
4.179,118.115,0
4.229,117.352,0
4.279,116.593,0
4.329,115.837,0
4.379,115.086,0
4.429,114.337,0
4.479,113.593,0
4.529,112.852,0
4.579,112.114,0
4.629,111.38,0
4.679,110.649,0
4.729,109.921,0
4.779,109.197,0
4.829,108.476,0
4.879,107.759,0
4.929,107.044,0
4.979,106.333,0
5.029,105.625,0
5.079,104.92,0
5.129,104.219,0
5.179,103.52,0
5.229,102.824,0
5.279,102.131,0
5.329,101.44,0
5.379,100.753,0
5.429,100.068,0
5.479,99.387,0
5.529,98.708,0
5.579,98.032,0
5.629,97.359,0
5.679,96.688,0
5.729,96.02,0
5.779,95.354,0
5.829,94.691,0
5.879,94.03,0
5.929,93.372,0
5.979,92.717,0
6.029,92.064,0
6.079,91.414,0
6.129,90.766,0
6.179,90.12,0
6.229,89.477,0
6.279,88.835,0
6.329,88.196,0
6.379,87.559,0
6.429,86.923,0
6.479,86.29,0
6.529,85.66,0
6.579,85.032,0
6.629,84.406,0
6.679,83.782,0
6.729,83.161,0
6.779,82.542,0
6.829,81.924,0
6.879,81.309,0
6.929,80.695,0
6.979,80.083,0
7.029,79.473,0
7.079,78.865,0
7.129,78.259,0
7.179,77.654,0
7.229,77.051,0
7.279,76.451,0
7.329,75.852,0
7.379,75.256,0
7.429,74.661,0
7.479,74.068,0
7.529,73.477,0
7.579,72.887,0
7.629,72.299,0
7.679,71.712,0
7.729,71.127,0
7.779,70.543,0
7.829,69.961,0
7.879,69.38,0
7.929,68.801,0
7.979,68.224,0
8.029,67.648,0
8.079,67.074,0
8.129,66.502,0
8.179,65.931,0
8.229,65.361,0
8.279,64.793,0
8.329,64.227,0
8.379,63.662,0
8.429,63.098,0
8.479,62.536,0
8.529,61.974,0
8.579,61.414,0
8.629,60.856,0
8.679,60.298,0
8.729,59.742,0
8.779,59.187,0
8.829,58.633,0
8.879,58.081,0
8.929,57.53,0
8.979,56.981,0
9.029,56.432,0
9.079,55.885,0
9.129,55.339,0
9.179,54.794,0
9.229,54.251,0
9.279,53.708,0
9.329,53.167,0
9.379,52.626,0
9.429,52.087,0
9.479,51.548,0
9.529,51.011,0
9.579,50.474,0
9.629,49.939,0
9.679,49.405,0
9.729,48.871,0
# Event EJECTION_CHARGE occurred at t=9.731 seconds,,
9.732,48.845,0
9.736,48.805,0
9.741,48.745,0
9.75,48.655,0
9.762,48.52,0
9.781,48.318,0
9.81,48.015,0
9.853,47.562,0
9.903,47.032,0
9.953,46.503,0
10.003,45.975,0
10.053,45.448,0
10.103,44.922,0
10.153,44.397,0
10.203,43.872,0
10.253,43.349,0
10.303,42.827,0
10.353,42.305,0
10.403,41.785,0
10.453,41.265,0
10.503,40.746,0
10.553,40.228,0
10.603,39.711,0
10.653,39.194,0
10.703,38.679,0
10.753,38.164,0
10.803,37.65,0
10.853,37.136,0
10.903,36.624,0
10.953,36.112,0
11.003,35.601,0
11.053,35.09,0
11.103,34.58,0
11.153,34.071,0
11.203,33.563,0
11.253,33.055,0
11.303,32.548,0
11.353,32.042,0
11.403,31.536,0
11.453,31.031,0
11.503,30.527,0
11.553,30.023,0
11.603,29.52,0
11.653,29.018,0
11.703,28.516,0
11.753,28.015,0
11.803,27.514,0
11.853,27.014,0
11.903,26.515,0
11.953,26.016,0
12.003,25.518,0
12.053,25.021,0
12.103,24.524,0
12.153,24.028,0
12.203,23.533,0
12.253,23.038,0
12.303,22.544,0
12.353,22.05,0
12.403,21.557,0
12.453,21.065,0
12.503,20.573,0
12.553,20.082,0
12.603,19.592,0
12.653,19.102,0
12.703,18.613,0
12.753,18.125,0
12.803,17.637,0
12.853,17.15,0
12.903,16.663,0
12.953,16.178,0
13.003,15.693,0
13.053,15.209,0
13.103,14.726,0
13.153,14.244,0
13.203,13.763,0
13.253,13.283,0
13.303,12.804,0
13.353,12.326,0
13.403,11.85,0
13.453,11.375,0
13.503,10.902,0
13.553,10.431,0
13.603,9.962,0
13.653,9.495,0
13.703,9.03,0
13.753,8.569,0
13.803,8.11,0
13.853,7.656,0
13.903,7.207,0
13.953,6.762,0
14.003,6.325,0
14.053,5.895,0
14.103,5.475,0
14.153,5.067,0
14.203,4.674,0
14.253,4.299,0
14.303,3.949,0
14.353,3.629,0
14.403,3.349,0
14.453,3.117,0
14.503,2.952,0
14.553,2.863,0
# Event APOGEE occurred at t=14.603 seconds,,
14.603,2.855,0
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.604 seconds,,
14.653,2.929,0
14.658,5.034,0
15.158,7.166,0
15.509,9.425,0
15.743,10.688,0
15.954,11.763,0
16.181,12.697,0
16.426,13.52,0
16.703,14.255,0
17.039,14.893,0
17.474,15.43,0
17.974,15.746,0
18.474,15.871,0
18.974,15.926,0
19.474,15.944,0
19.974,15.948,0
20.474,15.947,0
20.974,15.941,0
21.474,15.936,0
21.974,15.93,0
22.474,15.924,0
22.974,15.917,0
23.474,15.911,0
23.974,15.905,0
24.474,15.898,0
24.974,15.892,0
25.474,15.886,0
25.974,15.879,0
26.474,15.873,0
26.974,15.867,0
27.474,15.861,0
27.974,15.854,0
28.474,15.847,0
28.974,15.842,0
29.474,15.836,0
29.974,15.829,0
30.474,15.823,0
30.974,15.817,0
31.474,15.811,0
31.974,15.805,0
32.474,15.798,0
32.974,15.793,0
33.474,15.786,0
33.974,15.78,0
34.474,15.774,0
34.974,15.768,0
35.474,15.762,0
35.974,15.756,0
36.474,15.75,0
36.974,15.744,0
37.474,15.738,0
37.974,15.732,0
38.474,15.726,0
38.974,15.719,0
39.474,15.714,0
39.974,15.708,0
40.474,15.703,0
40.974,15.695,0
41.474,15.69,0
41.974,15.685,0
42.474,15.678,0
42.974,15.671,0
43.474,15.666,0
43.974,15.661,0
44.474,15.655,0
44.974,15.649,0
45.474,15.643,0
45.974,15.637,0
46.474,15.632,0
46.974,15.625,0
47.474,15.62,0
47.974,15.614,0
48.474,15.609,0
48.974,15.602,0
49.474,15.597,0
49.974,15.591,0
50.474,15.585,0
50.974,15.579,0
51.474,15.574,0
51.974,15.568,0
52.474,15.562,0
52.974,15.556,0
53.474,15.55,0
53.974,15.544,0
54.474,15.538,0
54.974,15.533,0
55.474,15.526,0
55.974,15.52,0
56.474,15.514,0
56.974,15.508,0
57.474,15.503,0
57.974,15.496,0
58.474,15.49,0
58.974,15.485,0
59.474,15.478,0
59.974,15.473,0
60.474,15.467,0
60.974,15.461,0
61.474,15.455,0
61.974,15.449,0
62.474,15.444,0
62.974,15.438,0
63.474,15.432,0
63.974,15.426,0
64.474,15.421,0
64.974,15.415,0
65.474,15.409,0
65.974,15.403,0
66.474,15.398,0
66.974,15.392,0
67.474,15.386,0
67.974,15.381,0
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=67.975 seconds,,
68.474,15.374,0
68.486,14.874,0
68.49,14.728,0
68.495,14.569,0
68.5,14.409,0
68.505,14.247,0
68.51,14.083,0
68.515,13.918,0
68.52,13.751,0
68.526,13.582,0
68.532,13.412,0
68.538,13.239,0
68.545,13.064,0
68.552,12.887,0
68.559,12.708,0
68.567,12.527,0
68.575,12.344,0
68.583,12.158,0
68.592,11.969,0
68.602,11.778,0
68.612,11.585,0
68.623,11.389,0
68.635,11.19,0
68.647,10.989,0
68.661,10.784,0
68.675,10.577,0
68.691,10.366,0
68.708,10.152,0
68.727,9.934,0
68.747,9.713,0
68.77,9.489,0
68.796,9.26,0
68.825,9.029,0
68.858,8.795,0
68.896,8.559,0
68.939,8.323,0
68.992,8.081,0
69.055,7.845,0
69.132,7.621,0
69.234,7.395,0
69.361,7.192,0
69.557,7.006,0
69.9,6.87,0
70.4,6.863,0
70.9,6.868,0
71.4,6.864,0
71.9,6.861,0
72.4,6.863,0
72.9,6.86,0
73.4,6.861,0
73.9,6.859,0
74.4,6.852,0
74.9,6.859,0
75.4,6.855,0
75.9,6.855,0
76.4,6.854,0
76.9,6.853,0
77.4,6.847,0
77.9,6.85,0
78.4,6.85,0
78.9,6.848,0
79.4,6.847,0
79.9,6.846,0
80.4,6.845,0
80.9,6.844,0
81.4,6.839,0
81.9,6.843,0
82.4,6.84,0
82.9,6.835,0
83.4,6.837,0
83.9,6.837,0
84.4,6.834,0
84.9,6.836,0
85.4,6.834,0
85.9,6.832,0
86.4,6.832,0
86.9,6.83,0
87.4,6.825,0
87.9,6.828,0
88.4,6.827,0
88.9,6.822,0
89.4,6.827,0
89.9,6.821,0
90.4,6.822,0
90.9,6.818,0
91.4,6.818,0
91.9,6.821,0
92.4,6.818,0
92.9,6.817,0
93.4,6.817,0
93.9,6.815,0
94.4,6.814,0
94.9,6.813,0
95.4,6.812,0
95.9,6.81,0
96.4,6.81,0
96.9,6.808,0
97.4,6.805,0
97.9,6.808,0
98.4,6.805,0
98.9,6.804,0
99.4,6.799,0
99.9,6.804,0
100.4,6.801,0
100.9,6.8,0
101.4,6.799,0
101.9,6.797,0
# Event GROUND_HIT occurred at t=102.198 seconds,,
# Event SIMULATION_END occurred at t=102.198 seconds,,
102.198,6.797,0
