# Simulation 7 (Data loaded from a file)
# 1287 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (204 ft/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Thrust (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.743e-4,-0.095,0.096,0.453
0.02,-4.743e-4,-0.095,0.096,0.443
0.03,-4.743e-4,-0.095,0.096,0.434
0.04,-4.743e-4,-0.095,0.096,0.424
0.05,-4.743e-4,-0.095,0.096,0.415
0.06,-4.743e-4,-0.095,0.096,0.406
0.07,-4.743e-4,-0.095,0.096,0.396
0.08,-4.744e-4,-0.095,0.096,0.387
0.09,-4.744e-4,-0.095,0.096,0.377
0.1,-4.744e-4,-0.095,0.096,0.368
0.11,-4.744e-4,-0.095,0.096,0.359
0.12,-4.744e-4,-0.095,0.096,0.349
0.13,-4.744e-4,-0.095,0.096,0.34
0.14,-4.744e-4,-0.095,0.096,0.331
0.15,-4.744e-4,-0.095,0.096,0.321
0.16,-4.583e-4,-0.092,0.093,13.08
0.17,-8.238e-5,-0.016,0.017,309.902
0.18,7.874e-4,0.157,0.16,996.617
0.19,0.004,0.422,0.429,1418.856
0.2,0.009,0.737,0.749,1619.698
0.21,0.019,1.085,1.102,1745.662
# Event LIFTOFF occurred at t=0.22 seconds
0.22,0.031,1.465,1.487,1871.625
0.23,0.048,1.872,1.901,1981.475
0.24,0.069,2.297,2.333,2049.925
0.25,0.094,2.731,2.773,2083.794
0.26,0.124,3.171,3.22,2108.887
0.27,0.157,3.613,3.668,2112.821
0.28,0.196,4.055,4.117,2114.467
0.29,0.239,4.497,4.567,2116.114
0.3,0.286,4.941,5.017,2117.76
0.31,0.337,5.384,5.467,2119.179
0.32,0.393,5.827,5.917,2113.103
0.33,0.454,6.267,6.363,2103.392
0.34,0.519,6.704,6.808,2093.682
0.35,0.588,7.14,7.25,2083.971
0.36,0.662,7.573,7.69,2075.163
0.37,0.739,8.006,8.13,2074.694
0.38,0.822,8.44,8.57,2076.253
0.39,0.908,8.875,9.011,2077.813
0.4,0.999,9.309,9.453,2079.373
0.41,1.094,9.745,9.895,2080.932
0.42,1.194,10.181,10.338,2082.492
0.43,1.298,10.618,10.781,2084.052
0.44,1.406,11.055,11.225,2085.611
0.45,1.519,11.492,11.67,2087.171
0.46,1.636,11.93,12.115,2088.731
0.47,1.758,12.369,12.56,2090.29
# Event LAUNCHROD occurred at t=0.48 seconds
0.48,1.884,12.806,13.004,2082.318
0.495,2.081,13.449,13.661,2060.437
0.518,2.394,14.395,14.629,2027.616
0.551,2.903,15.766,16.031,1968.122
0.601,3.738,17.647,17.957,1849.31
0.651,4.665,19.418,19.771,1764.031
0.701,5.679,21.131,21.526,1717.618
0.751,6.777,22.81,23.247,1689.463
0.801,7.959,24.46,24.938,1664.865
0.851,9.223,26.125,26.644,1675.631
0.901,10.572,27.813,28.375,1692.471
0.951,12.003,29.446,30.049,1647.986
1.001,13.517,31.105,31.75,1666.891
1.051,15.114,32.761,33.448,1663.998
1.101,16.793,34.413,35.142,1659.383
1.151,18.555,36.059,36.832,1654.769
1.201,20.399,37.701,38.517,1650.155
1.251,22.325,39.337,40.197,1645.54
1.301,24.332,40.968,41.872,1640.926
1.351,26.422,42.593,43.543,1636.311
1.401,28.592,44.212,45.209,1631.697
1.451,30.843,45.825,46.87,1627.083
1.501,33.174,47.432,48.527,1622.468
1.551,35.586,49.032,50.178,1617.854
1.601,38.077,50.625,51.825,1613.24
1.651,40.648,52.211,53.466,1608.625
1.701,43.298,53.79,55.103,1604.011
1.751,46.027,55.361,56.734,1599.396
1.801,48.834,56.92,58.356,1591.83
1.851,51.718,58.432,59.932,1556.564
1.901,54.677,59.933,61.5,1550.482
1.951,57.711,61.431,63.067,1549.837
2.001,60.82,62.927,64.635,1549.193
2.051,64.003,64.419,66.202,1548.549
2.101,67.262,65.909,67.768,1547.905
2.151,70.594,67.396,69.335,1547.261
2.201,74.001,68.881,70.9,1546.617
2.251,77.482,70.365,72.465,1545.973
2.301,81.038,71.846,74.03,1545.329
2.351,84.667,73.327,75.594,1544.685
2.401,88.37,74.807,77.157,1544.04
2.451,92.148,76.286,78.72,1543.396
2.501,95.999,77.765,80.282,1542.752
2.551,99.924,79.245,81.843,1542.108
2.601,103.923,80.724,83.403,1541.464
2.651,107.997,82.204,84.962,1540.82
2.701,112.144,83.683,86.52,1540.176
2.751,116.365,85.162,88.077,1539.532
2.801,120.66,86.641,89.633,1538.888
2.851,125.029,88.118,91.187,1538.243
2.901,129.472,89.593,92.74,1537.599
2.951,133.988,91.067,94.291,1536.955
3.001,138.578,92.537,95.842,1536.311
3.051,143.242,94.004,97.39,1535.667
3.101,147.979,95.467,98.937,1535.023
3.151,152.789,96.925,100.483,1534.379
3.201,157.671,98.379,102.027,1533.734
3.251,162.626,99.827,103.567,1531.624
3.301,167.654,101.266,105.101,1528.198
3.351,172.753,102.697,106.63,1524.772
3.401,177.923,104.12,108.152,1521.346
3.451,183.165,105.538,109.669,1517.92
3.501,188.477,106.949,111.18,1514.494
3.551,193.859,108.355,112.685,1511.068
3.601,199.312,109.756,114.183,1507.641
3.651,204.835,111.152,115.676,1504.215
3.701,210.427,112.544,117.163,1500.789
3.751,216.089,113.931,118.643,1497.363
3.801,221.82,115.313,120.117,1493.937
3.851,227.62,116.69,121.584,1490.511
3.901,233.489,118.059,123.045,1487.084
3.951,239.426,119.421,124.5,1483.658
4.001,245.431,120.775,125.948,1480.232
4.051,251.503,122.119,127.39,1476.806
4.101,257.643,123.455,128.825,1473.38
4.151,263.849,124.781,130.253,1469.954
4.201,270.121,126.098,131.675,1466.528
4.251,276.458,127.407,133.09,1463.101
4.301,282.861,128.708,134.498,1459.675
4.351,289.329,130.003,135.899,1456.249
4.401,295.861,131.292,137.293,1452.823
4.451,302.458,132.575,138.681,1449.397
4.501,309.119,133.853,140.061,1445.971
4.551,315.843,135.126,141.435,1442.545
